,model,bootstrap_iteration,c_index
208,GenMetS + age,8,0.6904082528533801
209,GenMetS + age,9,0.7243195785776997
210,GenMetS + age,10,0.7993854258121159
211,GenMetS + age,11,0.6544117647058824
212,GenMetS + age,12,0.7289288849868305
213,GenMetS + age,13,0.6759218612818262
214,GenMetS + age,14,0.6888718173836699
215,GenMetS + age,15,0.7063213345039508
216,GenMetS + age,16,0.7450614574187884
217,GenMetS + age,17,0.7155399473222125
218,GenMetS + age,18,0.7987269534679543
219,GenMetS + age,19,0.757243195785777
220,GenMetS + age,20,0.7259657594381036
221,GenMetS + age,21,0.6206101843722563
222,GenMetS + age,22,0.70171202809482
223,GenMetS + age,23,0.7097234416154522
224,GenMetS + age,24,0.7145522388059702
225,GenMetS + age,25,0.7354038630377524
226,GenMetS + age,26,0.7058823529411765
227,GenMetS + age,27,0.6766900790166813
228,GenMetS + age,28,0.6866769095697981
229,GenMetS + age,29,0.646180860403863
230,GenMetS + age,30,0.7014925373134329
231,GenMetS + age,31,0.5894424934152765
232,GenMetS + age,32,0.7767778753292361
233,GenMetS + age,33,0.5510316066725197
234,GenMetS + age,34,0.7134547848990342
235,GenMetS + age,35,0.6865671641791045
236,GenMetS + age,36,0.7520851624231782
237,GenMetS + age,37,0.7056628621597892
238,GenMetS + age,38,0.7769973661106233
239,GenMetS + age,39,0.7141132572431957
240,GenMetS + age,40,0.6861281826163301
241,GenMetS + age,41,0.6583625987708516
242,GenMetS + age,42,0.7593283582089553
243,GenMetS + age,43,0.667361720807726
244,GenMetS + age,44,0.7134547848990342
245,GenMetS + age,45,0.6962247585601404
246,GenMetS + age,46,0.7175153643546971
247,GenMetS + age,47,0.7416593503072871
248,GenMetS + age,48,0.7247585601404741
249,GenMetS + age,49,0.6965539947322212
250,GenMetS + age,50,0.6345478489903424
251,GenMetS + age,51,0.74571992976295
252,GenMetS + age,52,0.7471466198419666
253,GenMetS + age,53,0.7110403863037752
254,GenMetS + age,54,0.7699736611062336
255,GenMetS + age,55,0.7344161545215101
256,GenMetS + age,56,0.7140035118525022
257,GenMetS + age,57,0.7203687445127305
258,GenMetS + age,58,0.679982440737489
259,GenMetS + age,59,0.7482440737489026
260,GenMetS + age,60,0.7571334503950834
261,GenMetS + age,61,0.6687884108867428
262,GenMetS + age,62,0.7222344161545216
263,GenMetS + age,63,0.7121378402107111
264,GenMetS + age,64,0.6359745390693591
265,GenMetS + age,65,0.7459394205443372
266,GenMetS + age,66,0.6979806848112379
267,GenMetS + age,67,0.6759218612818262
268,GenMetS + age,68,0.7407813871817384
269,GenMetS + age,69,0.5793459174714662
270,GenMetS + age,70,0.699846356453029
271,GenMetS + age,71,0.559811237928007
272,GenMetS + age,72,0.668459174714662
273,GenMetS + age,73,0.7159789288849868
274,GenMetS + age,74,0.6392669007901668
275,GenMetS + age,75,0.7147717295873574
276,GenMetS + age,76,0.6549604916593503
277,GenMetS + age,77,0.7180640913081651
278,GenMetS + age,78,0.8019095697980685
279,GenMetS + age,79,0.6874451273046532
280,GenMetS + age,80,0.7225636523266022
281,GenMetS + age,81,0.7021510096575944
282,GenMetS + age,82,0.6952370500438981
283,GenMetS + age,83,0.7176251097453907
284,GenMetS + age,84,0.7418788410886743
285,GenMetS + age,85,0.689640035118525
286,GenMetS + age,86,0.6997366110623354
287,GenMetS + age,87,0.7016022827041264
288,GenMetS + age,88,0.7335381913959613
289,GenMetS + age,89,0.6738366988586479
290,GenMetS + age,90,0.6827260755048288
291,GenMetS + age,91,0.737928007023705
292,GenMetS + age,92,0.7479148375768218
293,GenMetS + age,93,0.6746049165935031
294,GenMetS + age,94,0.7640474100087796
295,GenMetS + age,95,0.7249780509218613
296,GenMetS + age,96,0.6301580333625988
297,GenMetS + age,97,0.6143546971027217
298,GenMetS + age,98,0.6678007023705005
299,GenMetS + age,99,0.6798726953467954
