,model,bootstrap_iteration,calibration_slope
107,GenMetS only,7,0.7474128092212855
108,GenMetS only,8,1.0023399651006104
109,GenMetS only,9,0.49862233157978647
110,GenMetS only,10,1.3451470635963814
111,GenMetS only,11,0.8417747327907192
112,GenMetS only,12,1.1080680083659327
113,GenMetS only,13,0.5080194173337069
114,GenMetS only,14,0.864960893554225
115,GenMetS only,15,0.5712938449414594
116,GenMetS only,16,0.9342413496658818
117,GenMetS only,17,0.7242372304272556
118,GenMetS only,18,0.9466020953159052
119,GenMetS only,19,0.9408419897853877
120,GenMetS only,20,1.0234063690687096
121,GenMetS only,21,0.7884566493413685
122,GenMetS only,22,0.5724002085073471
123,GenMetS only,23,1.1441925982898535
124,GenMetS only,24,1.0622974772698457
125,GenMetS only,25,0.42260084056214975
126,GenMetS only,26,0.8978665343314842
127,GenMetS only,27,0.8049504341567438
128,GenMetS only,28,0.5018058976836125
129,GenMetS only,29,0.45055546653620293
130,GenMetS only,30,1.266877557430355
131,GenMetS only,31,0.04971680691239089
132,GenMetS only,32,1.1056814469918723
133,GenMetS only,33,0.3661910529670329
134,GenMetS only,34,1.2544339937415527
135,GenMetS only,35,0.9342978117567997
136,GenMetS only,36,0.5184681411694005
137,GenMetS only,37,0.8772614675553391
138,GenMetS only,38,1.3740921458320203
139,GenMetS only,39,0.22566681467493932
140,GenMetS only,40,1.1098715417752858
141,GenMetS only,41,0.8909115481645071
142,GenMetS only,42,0.9786849164698721
143,GenMetS only,43,0.8804484893659189
144,GenMetS only,44,1.1892212328787617
