,model,bootstrap_iteration,discrimination_slope
449,covariates only,49,0.065431684
450,covariates only,50,0.114867955
451,covariates only,51,0.06681812
452,covariates only,52,0.044229835
453,covariates only,53,0.097050816
454,covariates only,54,0.065431684
455,covariates only,55,0.12457433
456,covariates only,56,0.06681812
457,covariates only,57,0.066717505
458,covariates only,58,0.044252127
459,covariates only,59,0.065431684
460,covariates only,60,0.059499145
461,covariates only,61,0.065431684
462,covariates only,62,0.065431684
463,covariates only,63,0.0950844
464,covariates only,64,0.10248405
465,covariates only,65,0.0936909
466,covariates only,66,0.09879768
467,covariates only,67,0.06664953
468,covariates only,68,0.06681812
469,covariates only,69,0.0408462
470,covariates only,70,0.065431684
471,covariates only,71,0.097050816
472,covariates only,72,0.0768325
473,covariates only,73,0.10130754
474,covariates only,74,0.065431684
475,covariates only,75,0.044252127
476,covariates only,76,0.0408462
477,covariates only,77,0.06681812
478,covariates only,78,0.12457433
479,covariates only,79,0.065431684
480,covariates only,80,0.09822139
481,covariates only,81,0.10034624
482,covariates only,82,0.06664953
483,covariates only,83,0.044229835
484,covariates only,84,0.044229835
485,covariates only,85,0.09932551
486,covariates only,86,0.114555866
487,covariates only,87,0.06681812
488,covariates only,88,0.11578062
489,covariates only,89,0.04560694
490,covariates only,90,0.065431684
491,covariates only,91,0.06664953
492,covariates only,92,0.06664953
493,covariates only,93,0.0950844
494,covariates only,94,0.06681812
495,covariates only,95,0.10248405
496,covariates only,96,0.04082489
497,covariates only,97,0.0950844
498,covariates only,98,0.10034624
499,covariates only,99,0.09932551
