,model,bootstrap_iteration,discrimination_slope
489,covariates only,89,0.06915021
490,covariates only,90,0.15536064
491,covariates only,91,0.06849158
492,covariates only,92,0.1552611
493,covariates only,93,0.16437888
494,covariates only,94,0.12336454
495,covariates only,95,0.1257337
496,covariates only,96,0.1339162
497,covariates only,97,0.13209063
498,covariates only,98,0.13939309
499,covariates only,99,0.16527852
