,model,bootstrap_iteration,c_index
231,GenMetS + age,31,0.7797410008779632
232,GenMetS + age,32,0.762071992976295
233,GenMetS + age,33,0.7900570676031606
234,GenMetS + age,34,0.7727172958735733
235,GenMetS + age,35,0.7727172958735733
236,GenMetS + age,36,0.7732660228270413
237,GenMetS + age,37,0.7675592625109745
238,GenMetS + age,38,0.7793020193151887
239,GenMetS + age,39,0.7727172958735733
240,GenMetS + age,40,0.7633889376646181
241,GenMetS + age,41,0.7521949078138718
242,GenMetS + age,42,0.7593283582089553
243,GenMetS + age,43,0.7727172958735733
244,GenMetS + age,44,0.7675592625109745
245,GenMetS + age,45,0.7751316944688323
246,GenMetS + age,46,0.7727172958735733
247,GenMetS + age,47,0.7727172958735733
248,GenMetS + age,48,0.759108867427568
249,GenMetS + age,49,0.7746927129060579
250,GenMetS + age,50,0.7900570676031606
251,GenMetS + age,51,0.7727172958735733
252,GenMetS + age,52,0.7991659350307287
253,GenMetS + age,53,0.7538410886742757
254,GenMetS + age,54,0.7888498683055312
255,GenMetS + age,55,0.7746927129060579
256,GenMetS + age,56,0.7633889376646181
257,GenMetS + age,57,0.7630597014925373
258,GenMetS + age,58,0.7715100965759438
259,GenMetS + age,59,0.759108867427568
260,GenMetS + age,60,0.7599868305531168
261,GenMetS + age,61,0.7797410008779632
262,GenMetS + age,62,0.7715100965759438
263,GenMetS + age,63,0.7900570676031606
264,GenMetS + age,64,0.7799604916593503
265,GenMetS + age,65,0.7900570676031606
266,GenMetS + age,66,0.7648156277436348
267,GenMetS + age,67,0.7797410008779632
268,GenMetS + age,68,0.7797410008779632
269,GenMetS + age,69,0.7751316944688323
270,GenMetS + age,70,0.7797410008779632
271,GenMetS + age,71,0.7751316944688323
272,GenMetS + age,72,0.7793020193151887
273,GenMetS + age,73,0.7762291483757682
274,GenMetS + age,74,0.7727172958735733
275,GenMetS + age,75,0.7797410008779632
276,GenMetS + age,76,0.7599868305531168
277,GenMetS + age,77,0.7599868305531168
278,GenMetS + age,78,0.7991659350307287
279,GenMetS + age,79,0.7698639157155399
280,GenMetS + age,80,0.7853380158033363
281,GenMetS + age,81,0.7729367866549605
282,GenMetS + age,82,0.7521949078138718
283,GenMetS + age,83,0.7521949078138718
284,GenMetS + age,84,0.7700834064969271
285,GenMetS + age,85,0.7608647936786654
286,GenMetS + age,86,0.7715100965759438
287,GenMetS + age,87,0.7729367866549605
288,GenMetS + age,88,0.7715100965759438
289,GenMetS + age,89,0.7853380158033363
290,GenMetS + age,90,0.7532923617208077
291,GenMetS + age,91,0.7532923617208077
292,GenMetS + age,92,0.7797410008779632
293,GenMetS + age,93,0.7820456540825286
294,GenMetS + age,94,0.7900570676031606
295,GenMetS + age,95,0.7708516242317822
296,GenMetS + age,96,0.7715100965759438
297,GenMetS + age,97,0.7751316944688323
298,GenMetS + age,98,0.7797410008779632
299,GenMetS + age,99,0.7900570676031606
300,Age Only,0,0.7515364354697103
301,Age Only,1,0.7507682177348551
302,Age Only,2,0.7507682177348551
303,Age Only,3,0.7438542581211589
304,Age Only,4,0.7472563652326603
305,Age Only,5,0.7515364354697103
306,Age Only,6,0.7515364354697103
307,Age Only,7,0.7472563652326603
308,Age Only,8,0.7528533801580334
309,Age Only,9,0.7472563652326603
310,Age Only,10,0.744622475856014
311,Age Only,11,0.7507682177348551
312,Age Only,12,0.744622475856014
313,Age Only,13,0.7507682177348551
314,Age Only,14,0.7515364354697103
315,Age Only,15,0.7507682177348551
316,Age Only,16,0.7528533801580334
317,Age Only,17,0.7472563652326603
318,Age Only,18,0.7438542581211589
319,Age Only,19,0.7468173836698858
320,Age Only,20,0.7438542581211589
321,Age Only,21,0.744622475856014
322,Age Only,22,0.7528533801580334
323,Age Only,23,0.7528533801580334
324,Age Only,24,0.7515364354697103
325,Age Only,25,0.7468173836698858
326,Age Only,26,0.7515364354697103
327,Age Only,27,0.7507682177348551
328,Age Only,28,0.7438542581211589
329,Age Only,29,0.7528533801580334
330,Age Only,30,0.7472563652326603
331,Age Only,31,0.7528533801580334
332,Age Only,32,0.7515364354697103
333,Age Only,33,0.7515364354697103
334,Age Only,34,0.7528533801580334
335,Age Only,35,0.7472563652326603
336,Age Only,36,0.7416593503072871
337,Age Only,37,0.7515364354697103
338,Age Only,38,0.7504389815627743
339,Age Only,39,0.7472563652326603
340,Age Only,40,0.7507682177348551
341,Age Only,41,0.7450614574187884
342,Age Only,42,0.7507682177348551
343,Age Only,43,0.7507682177348551
344,Age Only,44,0.7507682177348551
345,Age Only,45,0.7507682177348551
346,Age Only,46,0.7515364354697103
347,Age Only,47,0.7528533801580334
348,Age Only,48,0.7472563652326603
349,Age Only,49,0.7515364354697103
350,Age Only,50,0.7472563652326603
351,Age Only,51,0.7507682177348551
352,Age Only,52,0.7507682177348551
353,Age Only,53,0.7515364354697103
354,Age Only,54,0.7438542581211589
355,Age Only,55,0.7504389815627743
356,Age Only,56,0.744622475856014
357,Age Only,57,0.7507682177348551
358,Age Only,58,0.7507682177348551
359,Age Only,59,0.744622475856014
360,Age Only,60,0.7515364354697103
361,Age Only,61,0.7528533801580334
362,Age Only,62,0.744622475856014
363,Age Only,63,0.7438542581211589
364,Age Only,64,0.7472563652326603
365,Age Only,65,0.7438542581211589
366,Age Only,66,0.7460491659350307
367,Age Only,67,0.7405618964003512
368,Age Only,68,0.7507682177348551
369,Age Only,69,0.744622475856014
370,Age Only,70,0.7472563652326603
371,Age Only,71,0.7504389815627743
372,Age Only,72,0.7507682177348551
373,Age Only,73,0.7528533801580334
374,Age Only,74,0.744622475856014
375,Age Only,75,0.7528533801580334
376,Age Only,76,0.7515364354697103
377,Age Only,77,0.7515364354697103
378,Age Only,78,0.7450614574187884
379,Age Only,79,0.7507682177348551
380,Age Only,80,0.744622475856014
381,Age Only,81,0.7507682177348551
382,Age Only,82,0.7450614574187884
383,Age Only,83,0.7472563652326603
384,Age Only,84,0.7507682177348551
385,Age Only,85,0.7528533801580334
386,Age Only,86,0.7438542581211589
387,Age Only,87,0.7504389815627743
388,Age Only,88,0.7507682177348551
389,Age Only,89,0.7472563652326603
390,Age Only,90,0.7460491659350307
391,Age Only,91,0.7438542581211589
392,Age Only,92,0.742756804214223
393,Age Only,93,0.7507682177348551
394,Age Only,94,0.7438542581211589
395,Age Only,95,0.7504389815627743
396,Age Only,96,0.7528533801580334
397,Age Only,97,0.7438542581211589
398,Age Only,98,0.7515364354697103
399,Age Only,99,0.7515364354697103
400,covariates only,0,0.7818261633011413
401,covariates only,1,0.7587796312554873
402,covariates only,2,0.7532923617208077
403,covariates only,3,0.754828797190518
404,covariates only,4,0.7495610184372257
405,covariates only,5,0.7563652326602283
406,covariates only,6,0.7405618964003512
407,covariates only,7,0.7458296751536435
408,covariates only,8,0.7608647936786654
409,covariates only,9,0.7526338893766462
410,covariates only,10,0.7609745390693591
411,covariates only,11,0.7491220368744512
412,covariates only,12,0.7587796312554873
413,covariates only,13,0.7568042142230026
414,covariates only,14,0.7405618964003512
415,covariates only,15,0.75
416,covariates only,16,0.7607550482879719
417,covariates only,17,0.7568042142230026
418,covariates only,18,0.755377524143986
419,covariates only,19,0.754828797190518
420,covariates only,20,0.7570237050043899
421,covariates only,21,0.7559262510974539
422,covariates only,22,0.7287093942054433
423,covariates only,23,0.7458296751536435
424,covariates only,24,0.7532923617208077
425,covariates only,25,0.7549385425812116
426,covariates only,26,0.7532923617208077
427,covariates only,27,0.755377524143986
428,covariates only,28,0.7549385425812116
429,covariates only,29,0.7532923617208077
430,covariates only,30,0.7562554872695347
431,covariates only,31,0.7491220368744512
432,covariates only,32,0.7478050921861282
433,covariates only,33,0.7504389815627743
434,covariates only,34,0.7368305531167691
435,covariates only,35,0.7587796312554873
436,covariates only,36,0.7405618964003512
437,covariates only,37,0.7532923617208077
438,covariates only,38,0.7563652326602283
439,covariates only,39,0.7614135206321334
440,covariates only,40,0.7368305531167691
441,covariates only,41,0.7559262510974539
442,covariates only,42,0.7662423178226514
443,covariates only,43,0.7368305531167691
444,covariates only,44,0.7607550482879719
