,model,bootstrap_iteration,discrimination_slope
214,GenMetS + age,14,0.05075252
215,GenMetS + age,15,0.050514996
216,GenMetS + age,16,0.11600137
217,GenMetS + age,17,0.05075252
218,GenMetS + age,18,0.116378635
219,GenMetS + age,19,0.13061646
220,GenMetS + age,20,0.116363406
221,GenMetS + age,21,0.1203337
222,GenMetS + age,22,0.085419
223,GenMetS + age,23,0.085535824
224,GenMetS + age,24,0.11698204
225,GenMetS + age,25,0.08501756
226,GenMetS + age,26,0.116363406
227,GenMetS + age,27,0.05039531
228,GenMetS + age,28,0.12956327
229,GenMetS + age,29,0.1203337
230,GenMetS + age,30,0.12030125
231,GenMetS + age,31,0.12229103
232,GenMetS + age,32,0.11978859
233,GenMetS + age,33,0.1303007
234,GenMetS + age,34,0.05075252
235,GenMetS + age,35,0.12030125
236,GenMetS + age,36,0.11944732
237,GenMetS + age,37,0.12231922
238,GenMetS + age,38,0.050514996
239,GenMetS + age,39,0.12179217
240,GenMetS + age,40,0.13103211
241,GenMetS + age,41,0.11626363
242,GenMetS + age,42,0.12231922
243,GenMetS + age,43,0.12030125
244,GenMetS + age,44,0.11643088
245,GenMetS + age,45,0.050610483
246,GenMetS + age,46,0.12029618
247,GenMetS + age,47,0.12956327
248,GenMetS + age,48,0.12231922
249,GenMetS + age,49,0.050514996
250,GenMetS + age,50,0.11600137
251,GenMetS + age,51,0.1320234
252,GenMetS + age,52,0.11600137
253,GenMetS + age,53,0.12186903
254,GenMetS + age,54,0.12030125
255,GenMetS + age,55,0.13132599
256,GenMetS + age,56,0.050302684
257,GenMetS + age,57,0.11698204
258,GenMetS + age,58,0.05039531
259,GenMetS + age,59,0.050610483
260,GenMetS + age,60,0.11698204
261,GenMetS + age,61,0.12179217
262,GenMetS + age,62,0.11698204
263,GenMetS + age,63,0.13010752
264,GenMetS + age,64,0.11944732
265,GenMetS + age,65,0.050738305
266,GenMetS + age,66,0.11570975
267,GenMetS + age,67,0.116806835
268,GenMetS + age,68,0.1203337
269,GenMetS + age,69,0.12231922
270,GenMetS + age,70,0.050738305
271,GenMetS + age,71,0.11668849
272,GenMetS + age,72,0.12030125
273,GenMetS + age,73,0.1303007
274,GenMetS + age,74,0.11944732
275,GenMetS + age,75,0.13121387
276,GenMetS + age,76,0.11600137
277,GenMetS + age,77,0.11668849
278,GenMetS + age,78,0.116378635
279,GenMetS + age,79,0.12186903
280,GenMetS + age,80,0.12231922
281,GenMetS + age,81,0.11600137
282,GenMetS + age,82,0.116363406
283,GenMetS + age,83,0.12956327
284,GenMetS + age,84,0.05075252
285,GenMetS + age,85,0.12030125
286,GenMetS + age,86,0.12956327
287,GenMetS + age,87,0.085535824
288,GenMetS + age,88,0.12231922
289,GenMetS + age,89,0.11570975
290,GenMetS + age,90,0.050514996
291,GenMetS + age,91,0.08553633
292,GenMetS + age,92,0.05075252
293,GenMetS + age,93,0.08641818
294,GenMetS + age,94,0.12229103
295,GenMetS + age,95,0.11600137
296,GenMetS + age,96,0.12179217
297,GenMetS + age,97,0.120704085
298,GenMetS + age,98,0.13132599
299,GenMetS + age,99,0.12231922
300,Age Only,0,0.09966731
301,Age Only,1,0.08990592
302,Age Only,2,0.09966731
303,Age Only,3,0.10012981
304,Age Only,4,0.10013643
305,Age Only,5,0.08990592
306,Age Only,6,0.09024668
307,Age Only,7,0.09966731
308,Age Only,8,0.09966731
309,Age Only,9,0.09966731
310,Age Only,10,0.09966731
311,Age Only,11,0.10012981
312,Age Only,12,0.06561276
313,Age Only,13,0.10013643
314,Age Only,14,0.100574285
315,Age Only,15,0.09024668
316,Age Only,16,0.09966731
317,Age Only,17,0.10013643
318,Age Only,18,0.09966731
319,Age Only,19,0.09024668
320,Age Only,20,0.10013643
321,Age Only,21,0.10013643
322,Age Only,22,0.09966731
323,Age Only,23,0.10002139
324,Age Only,24,0.10012981
325,Age Only,25,0.09966731
326,Age Only,26,0.08990592
327,Age Only,27,0.09966731
328,Age Only,28,0.06570324
329,Age Only,29,0.09024668
330,Age Only,30,0.08990592
331,Age Only,31,0.06561276
332,Age Only,32,0.09966731
333,Age Only,33,0.09966731
334,Age Only,34,0.10012981
335,Age Only,35,0.09966731
336,Age Only,36,0.10013643
337,Age Only,37,0.08990592
338,Age Only,38,0.10002139
339,Age Only,39,0.08990592
340,Age Only,40,0.06561276
341,Age Only,41,0.10012981
342,Age Only,42,0.10013643
343,Age Only,43,0.09966731
344,Age Only,44,0.09966731
